VISIT.,AMGR,AMMA,ANBO,PSRE,RAAU,RACA,RAPR,TAGR,SiteCode
06-40,NA,NA,NA,NA,NA,1,NA,1,LCM
06-44,NA,NA,NA,NA,NA,NA,NA,NA,FRY
06-43,NA,NA,NA,NA,NA,NA,NA,4,CAMAS
06-46,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
06-49,NA,NA,NA,NA,NA,NA,NA,NA,FRY
06-48,NA,NA,NA,NA,NA,10,NA,NA,JACK
06-47,NA,NA,NA,NA,NA,NA,NA,NA,DRY
06-65,NA,NA,NA,NA,NA,NA,0,NA,CAMAS
06-54,NA,NA,NA,NA,NA,NA,NA,6,FRY
06-55,NA,NA,NA,NA,1,NA,NA,NA,LCM
06-67,NA,NA,NA,NA,NA,NA,NA,NA,FRY
06-56,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
06-66,NA,NA,NA,NA,NA,NA,NA,NA,BRUR
06-58,NA,NA,NA,NA,NA,6,NA,NA,JACK
06-57,NA,NA,NA,2,NA,NA,NA,NA,DRY
07-10,1,NA,NA,NA,NA,NA,NA,6,BRUR
07-05,NA,NA,NA,2,NA,NA,NA,6,CAMAS
07-11,NA,NA,1,NA,NA,NA,NA,NA,BRUR
07-14,NA,NA,9,NA,NA,NA,NA,NA,FROG
07-13,NA,NA,NA,NA,NA,NA,NA,20,CAMAS
07-15,NA,NA,1,NA,NA,NA,NA,NA,BRUR
07-16,NA,NA,NA,NA,NA,NA,NA,4,BRUR
07-18,NA,NA,87,NA,NA,NA,NA,NA,FROG
07-20,NA,NA,9,20,NA,NA,NA,5,FRY
07-50,NA,NA,2,NA,NA,NA,NA,NA,FROG
07-19,NA,NA,NA,1,NA,NA,NA,4,CAMAS
07-22,NA,NA,2,20,NA,NA,NA,NA,FRY
07-23,NA,NA,NA,NA,NA,NA,NA,2,FROG
07-25,NA,NA,NA,NA,NA,NA,NA,NA,JACK
07-24,NA,NA,NA,2,NA,NA,NA,NA,DRY
07-26,NA,NA,NA,NA,NA,1,NA,NA,CAMAS
07-51,NA,NA,NA,NA,NA,NA,NA,100,BRUR
07-31,NA,NA,NA,NA,NA,NA,NA,3,LCM
07-32,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
07-33,NA,NA,NA,NA,NA,NA,NA,NA,CAMAS
07-36,NA,NA,NA,NA,NA,NA,NA,NA,FRY
07-35,NA,NA,NA,NA,NA,3,NA,NA,JACK
07-34,NA,NA,NA,NA,NA,NA,NA,NA,DRY
07-38,NA,NA,NA,NA,NA,NA,NA,NA,FROG
07-37,NA,NA,NA,NA,NA,NA,1,1,CAMAS
07-41,NA,NA,NA,1,NA,5,NA,3,JACK
07-42,NA,NA,NA,1,NA,NA,2,2,CAMAS
07-40,NA,NA,1,NA,NA,NA,NA,NA,BRUR
07-43,NA,NA,NA,4,NA,1,NA,NA,LCM
